name,year,score
那些爱人 The Lovers,(2017),7.0
恋恋视距离 Lazy Eye,(2016),7.2
皮绳上的魂,(2016),7.4
星游记之风暴法米拉,(2017),8.2
杀破狼·贪狼 殺破狼‧貪狼,(2017),7.5
女教师 Ucitelka,(2016),7.9
宣言 Manifesto,(2015),8.3
地球：神奇的一天 Earth: One Amazing Day,(2017),8.2
二十二,(2015),9.0
春风十里，不如你,(2017),7.0
心理罪,(2017),5.5
阿凡达 Avatar,(2009),8.6
二十二,(2015),9.0
鲁斯兰与柳德米拉 Руслан и Людмила,(1972),
马斯卡尼 歌剧电影《乡村骑士》 Cavalleria rusticana,(1982),7.9
风流寡妇 The Merry Widow,(1952),7.9
艺术家的生涯 The Metropolitan Opera HD Live: Puccini: La Bohème,(2014),
约兰塔公主 Иоланта,(2013),
战狼,(2015),6.8
夜半凶铃,(2017),2.8
玩偶奇兵,(2017),5.4
豆福传,(2017),5.7
智取威虎山,(2014),7.7
悟空传,(2017),5.4
龙之战,(2017),6.7
冈仁波齐,(2015),7.7
闪光少女,(2017),7.5
恐怖毕业照2,(2017),
海边的曼彻斯特 Manchester by the Sea,(2016),8.6
神偷奶爸3 Despicable Me 3,(2017),7.0
三生三世十里桃花,(2017),4.2
大耳朵图图之美食狂想曲,(2017),5.6
我是谁的宝贝,(2017),
皮绳上的魂,(2016),7.4
鲛珠传,(2017),4.8
侠盗联盟 俠盜聯盟,(2017),5.7
心理罪,(2017),5.5
地球：神奇的一天 Earth: One Amazing Day,(2017),8.2
赛尔号大电影6：圣者无敌,(2017),
赛车总动员3：极速挑战 Cars 3,(2017),7.0
极盗车神 Baby Driver,(2017),7.7
十万个冷笑话2,(2017),7.8
星际特工：千星之城 Valérian and the City of a Thousand Planets,(2017),6.7
二十二,(2015),9.0
杀破狼·贪狼 殺破狼‧貪狼,(2017),7.5
战狼2,(2017),7.5
